Company Name,Location,Industry,Founded Year,Employee Count,Annual Revenue (Million USD),Website
OEM Company 26,"City 26, Country 6",Electronics,2005,175,60,https://www.oemcompany26.com
OEM Company 27,"City 27, Country 7",Machinery,2006,180,62,https://www.oemcompany27.com
OEM Company 28,"City 28, Country 8",Automotive,2007,185,64,https://www.oemcompany28.com
OEM Company 29,"City 29, Country 9",Electronics,2008,190,66,https://www.oemcompany29.com
OEM Company 30,"City 30, Country 10",Machinery,2009,195,68,https://www.oemcompany30.com
OEM Company 31,"City 31, Country 1",Automotive,2010,200,70,https://www.oemcompany31.com
OEM Company 32,"City 32, Country 2",Electronics,2011,205,72,https://www.oemcompany32.com
OEM Company 33,"City 33, Country 3",Machinery,2012,210,74,https://www.oemcompany33.com
OEM Company 34,"City 34, Country 4",Automotive,2013,215,76,https://www.oemcompany34.com
OEM Company 35,"City 35, Country 5",Electronics,2014,220,78,https://www.oemcompany35.com
OEM Company 36,"City 36, Country 6",Machinery,2015,225,80,https://www.oemcompany36.com
OEM Company 37,"City 37, Country 7",Automotive,2016,230,82,https://www.oemcompany37.com
OEM Company 38,"City 38, Country 8",Electronics,2017,235,84,https://www.oemcompany38.com
OEM Company 39,"City 39, Country 9",Machinery,2018,240,86,https://www.oemcompany39.com
OEM Company 40,"City 40, Country 10",Automotive,2019,245,88,https://www.oemcompany40.com
OEM Company 41,"City 41, Country 1",Electronics,1980,250,90,https://www.oemcompany41.com
OEM Company 42,"City 42, Country 2",Machinery,1981,255,92,https://www.oemcompany42.com
OEM Company 43,"City 43, Country 3",Automotive,1982,260,94,https://www.oemcompany43.com
OEM Company 44,"City 44, Country 4",Electronics,1983,265,96,https://www.oemcompany44.com
OEM Company 45,"City 45, Country 5",Machinery,1984,270,98,https://www.oemcompany45.com
OEM Company 46,"City 46, Country 6",Automotive,1985,275,100,https://www.oemcompany46.com
OEM Company 47,"City 47, Country 7",Electronics,1986,280,102,https://www.oemcompany47.com
OEM Company 48,"City 48, Country 8",Machinery,1987,285,104,https://www.oemcompany48.com
OEM Company 49,"City 49, Country 9",Automotive,1988,290,106,https://www.oemcompany49.com
OEM Company 50,"City 50, Country 10",Electronics,1989,295,108,https://www.oemcompany50.com
OEM Company 51,"City 1, Country 1",Machinery,1990,300,110,https://www.oemcompany51.com
OEM Company 52,"City 2, Country 2",Automotive,1991,305,112,https://www.oemcompany52.com
OEM Company 53,"City 3, Country 3",Electronics,1992,310,114,https://www.oemcompany53.com
OEM Company 54,"City 4, Country 4",Machinery,1993,315,116,https://www.oemcompany54.com
OEM Company 55,"City 5, Country 5",Automotive,1994,320,118,https://www.oemcompany55.com
OEM Company 56,"City 6, Country 6",Electronics,1995,325,120,https://www.oemcompany56.com
OEM Company 57,"City 7, Country 7",Machinery,1996,330,122,https://www.oemcompany57.com
OEM Company 58,"City 8, Country 8",Automotive,1997,335,124,https://www.oemcompany58.com
OEM Company 59,"City 9, Country 9",Electronics,1998,340,126,https://www.oemcompany59.com
OEM Company 60,"City 10, Country 10",Machinery,1999,345,128,https://www.oemcompany60.com
OEM Company 61,"City 11, Country 1",Automotive,2000,350,130,https://www.oemcompany61.com
OEM Company 62,"City 12, Country 2",Electronics,2001,355,132,https://www.oemcompany62.com
OEM Company 63,"City 13, Country 3",Machinery,2002,360,134,https://www.oemcompany63.com
OEM Company 64,"City 14, Country 4",Automotive,2003,365,136,https://www.oemcompany64.com
OEM Company 65,"City 15, Country 5",Electronics,2004,370,138,https://www.oemcompany65.com
OEM Company 66,"City 16, Country 6",Machinery,2005,375,140,https://www.oemcompany66.com
OEM Company 67,"City 17, Country 7",Automotive,2006,380,142,https://www.oemcompany67.com
OEM Company 68,"City 18, Country 8",Electronics,2007,385,144,https://www.oemcompany68.com
OEM Company 69,"City 19, Country 9",Machinery,2008,390,146,https://www.oemcompany69.com
OEM Company 70,"City 20, Country 10",Automotive,2009,395,148,https://www.oemcompany70.com
OEM Company 71,"City 21, Country 1",Electronics,2010,400,150,https://www.oemcompany71.com
OEM Company 72,"City 22, Country 2",Machinery,2011,405,152,https://www.oemcompany72.com
OEM Company 73,"City 23, Country 3",Automotive,2012,410,154,https://www.oemcompany73.com
OEM Company 74,"City 24, Country 4",Electronics,2013,415,156,https://www.oemcompany74.com
OEM Company 75,"City 25, Country 5",Machinery,2014,420,158,https://www.oemcompany75.com
OEM Company 76,"City 26, Country 6",Automotive,2015,425,160,https://www.oemcompany76.com
OEM Company 77,"City 27, Country 7",Electronics,2016,430,162,https://www.oemcompany77.com
OEM Company 78,"City 28, Country 8",Machinery,2017,435,164,https://www.oemcompany78.com
OEM Company 79,"City 29, Country 9",Automotive,2018,440,166,https://www.oemcompany79.com
OEM Company 80,"City 30, Country 10",Electronics,2019,445,168,https://www.oemcompany80.com
OEM Company 81,"City 31, Country 1",Machinery,1980,450,170,https://www.oemcompany81.com
OEM Company 82,"City 32, Country 2",Automotive,1981,455,172,https://www.oemcompany82.com
OEM Company 83,"City 33, Country 3",Electronics,1982,460,174,https://www.oemcompany83.com
OEM Company 84,"City 34, Country 4",Machinery,1983,465,176,https://www.oemcompany84.com
OEM Company 85,"City 35, Country 5",Automotive,1984,470,178,https://www.oemcompany85.com
OEM Company 86,"City 36, Country 6",Electronics,1985,475,180,https://www.oemcompany86.com
OEM Company 87,"City 37, Country 7",Machinery,1986,480,182,https://www.oemcompany87.com
OEM Company 88,"City 38, Country 8",Automotive,1987,485,184,https://www.oemcompany88.com
OEM Company 89,"City 39, Country 9",Electronics,1988,490,186,https://www.oemcompany89.com
OEM Company 90,"City 40, Country 10",Machinery,1989,495,188,https://www.oemcompany90.com
OEM Company 91,"City 41, Country 1",Automotive,1990,500,190,https://www.oemcompany91.com
OEM Company 92,"City 42, Country 2",Electronics,1991,505,192,https://www.oemcompany92.com
OEM Company 93,"City 43, Country 3",Machinery,1992,510,194,https://www.oemcompany93.com
OEM Company 94,"City 44, Country 4",Automotive,1993,515,196,https://www.oemcompany94.com
OEM Company 95,"City 45, Country 5",Electronics,1994,520,198,https://www.oemcompany95.com
OEM Company 96,"City 46, Country 6",Machinery,1995,525,200,https://www.oemcompany96.com
OEM Company 97,"City 47, Country 7",Automotive,1996,530,202,https://www.oemcompany97.com
OEM Company 98,"City 48, Country 8",Electronics,1997,535,204,https://www.oemcompany98.com
OEM Company 99,"City 49, Country 9",Machinery,1998,540,206,https://www.oemcompany99.com
OEM Company 100,"City 50, Country 10",Automotive,1999,545,208,https://www.oemcompany100.com
OEM Company 101,"City 1, Country 1",Electronics,2000,550,10,https://www.oemcompany101.com
OEM Company 102,"City 2, Country 2",Machinery,2001,555,12,https://www.oemcompany102.com
OEM Company 103,"City 3, Country 3",Automotive,2002,560,14,https://www.oemcompany103.com
OEM Company 104,"City 4, Country 4",Electronics,2003,565,16,https://www.oemcompany104.com
OEM Company 105,"City 5, Country 5",Machinery,2004,570,18,https://www.oemcompany105.com
OEM Company 106,"City 6, Country 6",Automotive,2005,575,20,https://www.oemcompany106.com
OEM Company 107,"City 7, Country 7",Electronics,2006,580,22,https://www.oemcompany107.com
OEM Company 108,"City 8, Country 8",Machinery,2007,585,24,https://www.oemcompany108.com
OEM Company 109,"City 9, Country 9",Automotive,2008,590,26,https://www.oemcompany109.com
OEM Company 110,"City 10, Country 10",Electronics,2009,595,28,https://www.oemcompany110.com
OEM Company 111,"City 11, Country 1",Machinery,2010,600,30,https://www.oemcompany111.com
OEM Company 112,"City 12, Country 2",Automotive,2011,605,32,https://www.oemcompany112.com
OEM Company 113,"City 13, Country 3",Electronics,2012,610,34,https://www.oemcompany113.com
OEM Company 114,"City 14, Country 4",Machinery,2013,615,36,https://www.oemcompany114.com
OEM Company 115,"City 15, Country 5",Automotive,2014,620,38,https://www.oemcompany115.com
OEM Company 116,"City 16, Country 6",Electronics,2015,625,40,https://www.oemcompany116.com
OEM Company 117,"City 17, Country 7",Machinery,2016,630,42,https://www.oemcompany117.com
OEM Company 118,"City 18, Country 8",Automotive,2017,635,44,https://www.oemcompany118.com
OEM Company 119,"City 19, Country 9",Electronics,2018,640,46,https://www.oemcompany119.com
OEM Company 120,"City 20, Country 10",Machinery,2019,645,48,https://www.oemcompany120.com
OEM Company 121,"City 21, Country 1",Automotive,1980,650,50,https://www.oemcompany121.com
OEM Company 122,"City 22, Country 2",Electronics,1981,655,52,https://www.oemcompany122.com
OEM Company 123,"City 23, Country 3",Machinery,1982,660,54,https://www.oemcompany123.com
OEM Company 124,"City 24, Country 4",Automotive,1983,665,56,https://www.oemcompany124.com
OEM Company 125,"City 25, Country 5",Electronics,1984,670,58,https://www.oemcompany125.com
OEM Company 126,"City 26, Country 6",Machinery,1985,675,60,https://www.oemcompany126.com
OEM Company 127,"City 27, Country 7",Automotive,1986,680,62,https://www.oemcompany127.com
OEM Company 128,"City 28, Country 8",Electronics,1987,685,64,https://www.oemcompany128.com
OEM Company 129,"City 29, Country 9",Machinery,1988,690,66,https://www.oemcompany129.com
OEM Company 130,"City 30, Country 10",Automotive,1989,695,68,https://www.oemcompany130.com
OEM Company 131,"City 31, Country 1",Electronics,1990,700,70,https://www.oemcompany131.com
OEM Company 132,"City 32, Country 2",Machinery,1991,705,72,https://www.oemcompany132.com
OEM Company 133,"City 33, Country 3",Automotive,1992,710,74,https://www.oemcompany133.com
OEM Company 134,"City 34, Country 4",Electronics,1993,715,76,https://www.oemcompany134.com
OEM Company 135,"City 35, Country 5",Machinery,1994,720,78,https://www.oemcompany135.com
OEM Company 136,"City 36, Country 6",Automotive,1995,725,80,https://www.oemcompany136.com
OEM Company 137,"City 37, Country 7",Electronics,1996,730,82,https://www.oemcompany137.com
OEM Company 138,"City 38, Country 8",Machinery,1997,735,84,https://www.oemcompany138.com
OEM Company 139,"City 39, Country 9",Automotive,1998,740,86,https://www.oemcompany139.com
OEM Company 140,"City 40, Country 10",Electronics,1999,745,88,https://www.oemcompany140.com
OEM Company 141,"City 41, Country 1",Machinery,2000,750,90,https://www.oemcompany141.com
OEM Company 142,"City 42, Country 2",Automotive,2001,755,92,https://www.oemcompany142.com
OEM Company 143,"City 43, Country 3",Electronics,2002,760,94,https://www.oemcompany143.com
OEM Company 144,"City 44, Country 4",Machinery,2003,765,96,https://www.oemcompany144.com
OEM Company 145,"City 45, Country 5",Automotive,2004,770,98,https://www.oemcompany145.com
OEM Company 146,"City 46, Country 6",Electronics,2005,775,100,https://www.oemcompany146.com
OEM Company 147,"City 47, Country 7",Machinery,2006,780,102,https://www.oemcompany147.com
OEM Company 148,"City 48, Country 8",Automotive,2007,785,104,https://www.oemcompany148.com
OEM Company 149,"City 49, Country 9",Electronics,2008,790,106,https://www.oemcompany149.com
OEM Company 150,"City 50, Country 10",Machinery,2009,795,108,https://www.oemcompany150.com
OEM Company 151,"City 1, Country 1",Automotive,2010,800,110,https://www.oemcompany151.com
OEM Company 152,"City 2, Country 2",Electronics,2011,805,112,https://www.oemcompany152.com
OEM Company 153,"City 3, Country 3",Machinery,2012,810,114,https://www.oemcompany153.com
OEM Company 154,"City 4, Country 4",Automotive,2013,815,116,https://www.oemcompany154.com
OEM Company 155,"City 5, Country 5",Electronics,2014,820,118,https://www.oemcompany155.com
OEM Company 156,"City 6, Country 6",Machinery,2015,825,120,https://www.oemcompany156.com
OEM Company 157,"City 7, Country 7",Automotive,2016,830,122,https://www.oemcompany157.com
OEM Company 158,"City 8, Country 8",Electronics,2017,835,124,https://www.oemcompany158.com
OEM Company 159,"City 9, Country 9",Machinery,2018,840,126,https://www.oemcompany159.com
OEM Company 160,"City 10, Country 10",Automotive,2019,845,128,https://www.oemcompany160.com
OEM Company 161,"City 11, Country 1",Electronics,1980,850,130,https://www.oemcompany161.com
OEM Company 162,"City 12, Country 2",Machinery,1981,855,132,https://www.oemcompany162.com
OEM Company 163,"City 13, Country 3",Automotive,1982,860,134,https://www.oemcompany163.com
OEM Company 164,"City 14, Country 4",Electronics,1983,865,136,https://www.oemcompany164.com
OEM Company 165,"City 15, Country 5",Machinery,1984,870,138,https://www.oemcompany165.com
OEM Company 166,"City 16, Country 6",Automotive,1985,875,140,https://www.oemcompany166.com
OEM Company 167,"City 17, Country 7",Electronics,1986,880,142,https://www.oemcompany167.com
OEM Company 168,"City 18, Country 8",Machinery,1987,885,144,https://www.oemcompany168.com
OEM Company 169,"City 19, Country 9",Automotive,1988,890,146,https://www.oemcompany169.com
OEM Company 170,"City 20, Country 10",Electronics,1989,895,148,https://www.oemcompany170.com
OEM Company 171,"City 21, Country 1",Machinery,1990,900,150,https://www.oemcompany171.com
OEM Company 172,"City 22, Country 2",Automotive,1991,905,152,https://www.oemcompany172.com
OEM Company 173,"City 23, Country 3",Electronics,1992,910,154,https://www.oemcompany173.com
OEM Company 174,"City 24, Country 4",Machinery,1993,915,156,https://www.oemcompany174.com
OEM Company 175,"City 25, Country 5",Automotive,1994,920,158,https://www.oemcompany175.com
OEM Company 176,"City 26, Country 6",Electronics,1995,925,160,https://www.oemcompany176.com
OEM Company 177,"City 27, Country 7",Machinery,1996,930,162,https://www.oemcompany177.com
OEM Company 178,"City 28, Country 8",Automotive,1997,935,164,https://www.oemcompany178.com
OEM Company 179,"City 29, Country 9",Electronics,1998,940,166,https://www.oemcompany179.com
OEM Company 180,"City 30, Country 10",Machinery,1999,945,168,https://www.oemcompany180.com
OEM Company 181,"City 31, Country 1",Automotive,2000,950,170,https://www.oemcompany181.com
OEM Company 182,"City 32, Country 2",Electronics,2001,955,172,https://www.oemcompany182.com
OEM Company 183,"City 33, Country 3",Machinery,2002,960,174,https://www.oemcompany183.com
OEM Company 184,"City 34, Country 4",Automotive,2003,965,176,https://www.oemcompany184.com
OEM Company 185,"City 35, Country 5",Electronics,2004,970,178,https://www.oemcompany185.com
OEM Company 186,"City 36, Country 6",Machinery,2005,975,180,https://www.oemcompany186.com
OEM Company 187,"City 37, Country 7",Automotive,2006,980,182,https://www.oemcompany187.com
OEM Company 188,"City 38, Country 8",Electronics,2007,985,184,https://www.oemcompany188.com
OEM Company 189,"City 39, Country 9",Machinery,2008,990,186,https://www.oemcompany189.com
OEM Company 190,"City 40, Country 10",Automotive,2009,995,188,https://www.oemcompany190.com
OEM Company 191,"City 41, Country 1",Electronics,2010,1000,190,https://www.oemcompany191.com
OEM Company 192,"City 42, Country 2",Machinery,2011,1005,192,https://www.oemcompany192.com
OEM Company 193,"City 43, Country 3",Automotive,2012,1010,194,https://www.oemcompany193.com
OEM Company 194,"City 44, Country 4",Electronics,2013,1015,196,https://www.oemcompany194.com
OEM Company 195,"City 45, Country 5",Machinery,2014,1020,198,https://www.oemcompany195.com
OEM Company 196,"City 46, Country 6",Automotive,2015,1025,200,https://www.oemcompany196.com
OEM Company 197,"City 47, Country 7",Electronics,2016,1030,202,https://www.oemcompany197.com
OEM Company 198,"City 48, Country 8",Machinery,2017,1035,204,https://www.oemcompany198.com
OEM Company 199,"City 49, Country 9",Automotive,2018,1040,206,https://www.oemcompany199.com
OEM Company 200,"City 50, Country 10",Electronics,2019,1045,208,https://www.oemcompany200.com
OEM Company 201,"City 1, Country 1",Machinery,1980,50,10,https://www.oemcompany201.com
OEM Company 202,"City 2, Country 2",Automotive,1981,55,12,https://www.oemcompany202.com
OEM Company 203,"City 3, Country 3",Electronics,1982,60,14,https://www.oemcompany203.com
OEM Company 204,"City 4, Country 4",Machinery,1983,65,16,https://www.oemcompany204.com
OEM Company 205,"City 5, Country 5",Automotive,1984,70,18,https://www.oemcompany205.com
OEM Company 206,"City 6, Country 6",Electronics,1985,75,20,https://www.oemcompany206.com
OEM Company 207,"City 7, Country 7",Machinery,1986,80,22,https://www.oemcompany207.com
OEM Company 208,"City 8, Country 8",Automotive,1987,85,24,https://www.oemcompany208.com
OEM Company 209,"City 9, Country 9",Electronics,1988,90,26,https://www.oemcompany209.com
OEM Company 210,"City 10, Country 10",Machinery,1989,95,28,https://www.oemcompany210.com
OEM Company 211,"City 11, Country 1",Automotive,1990,100,30,https://www.oemcompany211.com
OEM Company 212,"City 12, Country 2",Electronics,1991,105,32,https://www.oemcompany212.com
OEM Company 213,"City 13, Country 3",Machinery,1992,110,34,https://www.oemcompany213.com
OEM Company 214,"City 14, Country 4",Automotive,1993,115,36,https://www.oemcompany214.com
OEM Company 215,"City 15, Country 5",Electronics,1994,120,38,https://www.oemcompany215.com
OEM Company 216,"City 16, Country 6",Machinery,1995,125,40,https://www.oemcompany216.com
OEM Company 217,"City 17, Country 7",Automotive,1996,130,42,https://www.oemcompany217.com
OEM Company 218,"City 18, Country 8",Electronics,1997,135,44,https://www.oemcompany218.com
OEM Company 219,"City 19, Country 9",Machinery,1998,140,46,https://www.oemcompany219.com
OEM Company 220,"City 20, Country 10",Automotive,1999,145,48,https://www.oemcompany220.com
OEM Company 221,"City 21, Country 1",Electronics,2000,150,50,https://www.oemcompany221.com
OEM Company 222,"City 22, Country 2",Machinery,2001,155,52,https://www.oemcompany222.com
OEM Company 223,"City 23, Country 3",Automotive,2002,160,54,https://www.oemcompany223.com
OEM Company 224,"City 24, Country 4",Electronics,2003,165,56,https://www.oemcompany224.com
OEM Company 225,"City 25, Country 5",Machinery,2004,170,58,https://www.oemcompany225.com
OEM Company 226,"City 26, Country 6",Automotive,2005,175,60,https://www.oemcompany226.com
OEM Company 227,"City 27, Country 7",Electronics,2006,180,62,https://www.oemcompany227.com
OEM Company 228,"City 28, Country 8",Machinery,2007,185,64,https://www.oemcompany228.com
OEM Company 229,"City 29, Country 9",Automotive,2008,190,66,https://www.oemcompany229.com
OEM Company 230,"City 30, Country 10",Electronics,2009,195,68,https://www.oemcompany230.com
OEM Company 231,"City 31, Country 1",Machinery,2010,200,70,https://www.oemcompany231.com
OEM Company 232,"City 32, Country 2",Automotive,2011,205,72,https://www.oemcompany232.com
OEM Company 233,"City 33, Country 3",Electronics,2012,210,74,https://www.oemcompany233.com
OEM Company 234,"City 34, Country 4",Machinery,2013,215,76,https://www.oemcompany234.com
OEM Company 235,"City 35, Country 5",Automotive,2014,220,78,https://www.oemcompany235.com
OEM Company 236,"City 36, Country 6",Electronics,2015,225,80,https://www.oemcompany236.com
OEM Company 237,"City 37, Country 7",Machinery,2016,230,82,https://www.oemcompany237.com
OEM Company 238,"City 38, Country 8",Automotive,2017,235,84,https://www.oemcompany238.com
OEM Company 239,"City 39, Country 9",Electronics,2018,240,86,https://www.oemcompany239.com
OEM Company 240,"City 40, Country 10",Machinery,2019,245,88,https://www.oemcompany240.com
OEM Company 241,"City 41, Country 1",Automotive,1980,250,90,https://www.oemcompany241.com
OEM Company 242,"City 42, Country 2",Electronics,1981,255,92,https://www.oemcompany242.com
OEM Company 243,"City 43, Country 3",Machinery,1982,260,94,https://www.oemcompany243.com
OEM Company 244,"City 44, Country 4",Automotive,1983,265,96,https://www.oemcompany244.com
OEM Company 245,"City 45, Country 5",Electronics,1984,270,98,https://www.oemcompany245.com
OEM Company 246,"City 46, Country 6",Machinery,1985,275,100,https://www.oemcompany246.com
OEM Company 247,"City 47, Country 7",Automotive,1986,280,102,https://www.oemcompany247.com
OEM Company 248,"City 48, Country 8",Electronics,1987,285,104,https://www.oemcompany248.com
OEM Company 249,"City 49, Country 9",Machinery,1988,290,106,https://www.oemcompany249.com
OEM Company 250,"City 50, Country 10",Automotive,1989,295,108,https://www.oemcompany250.com
OEM Company 251,"City 1, Country 1",Electronics,1990,300,110,https://www.oemcompany251.com
OEM Company 252,"City 2, Country 2",Machinery,1991,305,112,https://www.oemcompany252.com
OEM Company 253,"City 3, Country 3",Automotive,1992,310,114,https://www.oemcompany253.com
OEM Company 254,"City 4, Country 4",Electronics,1993,315,116,https://www.oemcompany254.com
OEM Company 255,"City 5, Country 5",Machinery,1994,320,118,https://www.oemcompany255.com
OEM Company 256,"City 6, Country 6",Automotive,1995,325,120,https://www.oemcompany256.com
OEM Company 257,"City 7, Country 7",Electronics,1996,330,122,https://www.oemcompany257.com
OEM Company 258,"City 8, Country 8",Machinery,1997,335,124,https://www.oemcompany258.com
OEM Company 259,"City 9, Country 9",Automotive,1998,340,126,https://www.oemcompany259.com
OEM Company 260,"City 10, Country 10",Electronics,1999,345,128,https://www.oemcompany260.com
OEM Company 261,"City 11, Country 1",Machinery,2000,350,130,https://www.oemcompany261.com
OEM Company 262,"City 12, Country 2",Automotive,2001,355,132,https://www.oemcompany262.com
OEM Company 263,"City 13, Country 3",Electronics,2002,360,134,https://www.oemcompany263.com
OEM Company 264,"City 14, Country 4",Machinery,2003,365,136,https://www.oemcompany264.com
OEM Company 265,"City 15, Country 5",Automotive,2004,370,138,https://www.oemcompany265.com
OEM Company 266,"City 16, Country 6",Electronics,2005,375,140,https://www.oemcompany266.com
OEM Company 267,"City 17, Country 7",Machinery,2006,380,142,https://www.oemcompany267.com
OEM Company 268,"City 18, Country 8",Automotive,2007,385,144,https://www.oemcompany268.com
OEM Company 269,"City 19, Country 9",Electronics,2008,390,146,https://www.oemcompany269.com
OEM Company 270,"City 20, Country 10",Machinery,2009,395,148,https://www.oemcompany270.com
OEM Company 271,"City 21, Country 1",Automotive,2010,400,150,https://www.oemcompany271.com
OEM Company 272,"City 22, Country 2",Electronics,2011,405,152,https://www.oemcompany272.com
OEM Company 273,"City 23, Country 3",Machinery,2012,410,154,https://www.oemcompany273.com
OEM Company 274,"City 24, Country 4",Automotive,2013,415,156,https://www.oemcompany274.com
OEM Company 275,"City 25, Country 5",Electronics,2014,420,158,https://www.oemcompany275.com
OEM Company 276,"City 26, Country 6",Machinery,2015,425,160,https://www.oemcompany276.com
OEM Company 277,"City 27, Country 7",Automotive,2016,430,162,https://www.oemcompany277.com
OEM Company 278,"City 28, Country 8",Electronics,2017,435,164,https://www.oemcompany278.com
OEM Company 279,"City 29, Country 9",Machinery,2018,440,166,https://www.oemcompany279.com
OEM Company 280,"City 30, Country 10",Automotive,2019,445,168,https://www.oemcompany280.com
OEM Company 281,"City 31, Country 1",Electronics,1980,450,170,https://www.oemcompany281.com
OEM Company 282,"City 32, Country 2",Machinery,1981,455,172,https://www.oemcompany282.com
OEM Company 283,"City 33, Country 3",Automotive,1982,460,174,https://www.oemcompany283.com
OEM Company 284,"City 34, Country 4",Electronics,1983,465,176,https://www.oemcompany284.com
OEM Company 285,"City 35, Country 5",Machinery,1984,470,178,https://www.oemcompany285.com
OEM Company 286,"City 36, Country 6",Automotive,1985,475,180,https://www.oemcompany286.com
OEM Company 287,"City 37, Country 7",Electronics,1986,480,182,https://www.oemcompany287.com
OEM Company 288,"City 38, Country 8",Machinery,1987,485,184,https://www.oemcompany288.com
OEM Company 289,"City 39, Country 9",Automotive,1988,490,186,https://www.oemcompany289.com
OEM Company 290,"City 40, Country 10",Electronics,1989,495,188,https://www.oemcompany290.com
OEM Company 291,"City 41, Country 1",Machinery,1990,500,190,https://www.oemcompany291.com
OEM Company 292,"City 42, Country 2",Automotive,1991,505,192,https://www.oemcompany292.com
OEM Company 293,"City 43, Country 3",Electronics,1992,510,194,https://www.oemcompany293.com
OEM Company 294,"City 44, Country 4",Machinery,1993,515,196,https://www.oemcompany294.com
OEM Company 295,"City 45, Country 5",Automotive,1994,520,198,https://www.oemcompany295.com
OEM Company 296,"City 46, Country 6",Electronics,1995,525,200,https://www.oemcompany296.com
OEM Company 297,"City 47, Country 7",Machinery,1996,530,202,https://www.oemcompany297.com
OEM Company 298,"City 48, Country 8",Automotive,1997,535,204,https://www.oemcompany298.com
OEM Company 299,"City 49, Country 9",Electronics,1998,540,206,https://www.oemcompany299.com
OEM Company 300,"City 50, Country 10",Machinery,1999,545,208,https://www.oemcompany300.com
